state,county,poverty_percent_all_ages,median_household_income
TX,Oldham,13.4,"53,797"
TX,Orange,16.1,"51,156"
TX,Palo Pinto,18.6,"42,932"
TX,Panola,15.1,"50,057"
TX,Parker,9.4,"67,545"
TX,Parmer,14.5,"46,827"
TX,Pecos,18.1,"45,839"
TX,Polk,17.2,"42,746"
TX,Potter,22.4,"40,353"
TX,Presidio,22.4,"33,218"
TX,Rains,14.4,"46,698"
TX,Randall,8.5,"62,080"
TX,Reagan,8.8,"65,948"
TX,Real,19.4,"34,031"
TX,Red River,20.2,"36,347"
TX,Reeves,19.3,"44,470"
TX,Refugio,15.4,"45,562"
TX,Roberts,6.7,"71,859"
TX,Robertson,16.6,"53,635"
TX,Rockwall,6,"92,150"
TX,Runnels,18.5,"39,404"
TX,Rusk,16.6,"49,347"
TX,Sabine,19.7,"36,813"
TX,San Augustine,24.3,"33,156"
TX,San Jacinto,18.1,"42,371"
TX,San Patricio,15.5,"52,952"
TX,San Saba,18.9,"42,559"
TX,Schleicher,13.4,"53,886"
TX,Scurry,12.7,"57,385"
TX,Shackelford,13.1,"51,685"
TX,Shelby,19.8,"41,519"
TX,Sherman,12.8,"54,010"
TX,Smith,16,"49,364"
TX,Somervell,12.1,"58,040"
TX,Starr,30.9,"28,292"
TX,Stephens,18.2,"45,410"
TX,Sterling,11.6,"62,759"
TX,Stonewall,14.5,"45,928"
TX,Sutton,12.5,"60,310"
TX,Swisher,21.6,"40,584"
TX,Tarrant,13.1,"60,735"
TX,Taylor,14.8,"47,388"
TX,Terrell,16.7,"43,815"
TX,Terry,22.5,"43,357"
TX,Throckmorton,13.6,"43,225"
TX,Titus,20.1,"41,538"
TX,Tom Green,15.6,"47,756"
TX,Travis,13.2,"65,244"
TX,Trinity,19.5,"37,213"
TX,Tyler,19.9,"40,820"
TX,Upshur,15.5,"45,494"
TX,Upton,13.5,"57,085"
TX,Uvalde,20.7,"37,700"
TX,Val Verde,22.1,"42,465"
TX,Van Zandt,15.9,"47,252"
TX,Victoria,13.6,"55,406"
TX,Walker,22.7,"41,429"
TX,Waller,16,"50,746"
TX,Ward,12.8,"57,570"
TX,Washington,14.5,"51,879"
TX,Webb,30.5,"39,237"
TX,Wharton,17.2,"45,198"
TX,Wheeler,12.9,"51,114"
TX,Wichita,18.9,"45,430"
TX,Wilbarger,16.5,"43,073"
TX,Willacy,35.4,"30,287"
TX,Williamson,6.6,"78,531"
TX,Wilson,9.4,"68,805"
TX,Winkler,13.3,"55,331"
TX,Wise,12.1,"58,367"
TX,Wood,16.6,"45,753"
TX,Yoakum,11.1,"59,752"
TX,Young,15,"49,079"
TX,Zapata,30.9,"35,754"
TX,Zavala,32,"27,711"
